Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
RELIANCE,2025-12-19,1547.25,1566.95,1543.86,1557.9,13937275,13937275.0,1.0,,0.0,,,,,,0,,0,-0.2634,0,,0,,0,0,0.1955,0,119,0.0,0.0,0.0,0.0,0
RELIANCE,2025-12-22,1566.26,1570.24,1558.1,1568.15,10184852,12061063.5,0.8444,0.006579,0.007933,-0.001354,-0.001354,,,,0,,0,-0.5592,0,0.1258,0,,0,0,0.1938,0,117,0.0,0.0,0.0,0.0,0
RELIANCE,2025-12-23,1573.62,1573.62,1560.88,1563.47,7506564,10542897.0,0.712,-0.002984,0.000181,-0.003165,-0.004519,0.006762,0.006762,1.0,0,-0.7071,0,-0.8109,0,0.0532,0,,0,0,0.1624,0,79,0.0,0.0,0.0,0.0,0
RELIANCE,2025-12-24,1565.46,1568.45,1546.45,1551.03,8815745,10111109.0,0.8719,-0.007957,-0.001339,-0.006618,-0.011137,0.007388,0.007388,1.0,0,-0.8802,0,-0.5069,0,-0.0987,0,,0,0,0.1707,0,90,0.0,0.0,0.0,0.0,0
RELIANCE,2025-12-26,1547.54,1553.82,1547.15,1552.02,2311495,8551186.2,0.2703,0.000638,-0.003818,0.004456,-0.006681,0.006122,0.006122,1.0,0,0.2563,0,-1.6507,0,0.0036,0,,0,0,0.128,0,53,0.0,0.0,0.0,0.0,0
RELIANCE,2025-12-29,1547.74,1550.93,1536.5,1538.49,5972105,8121339.333333333,0.7354,-0.008718,-0.003848,-0.00487,-0.011551,0.006343,0.006343,1.0,0,-0.9821,0,-0.7664,0,-0.1082,0,,0,0,0.1525,0,72,0.0,0.0,0.0,0.0,0
RELIANCE,2025-12-30,1539.88,1546.45,1530.72,1532.71,8815884,8220560.0,1.0724,-0.003757,-0.000125,-0.003632,-0.015183,0.00384,0.005697,0.674,0,-0.1856,0,-0.1257,0,-0.1916,0,,0,0,0.2057,0,124,0.0,0.0,0.0,0.0,0
RELIANCE,2025-12-31,1533.91,1569.74,1533.91,1563.17,5771830,7914468.75,0.7293,0.019873,0.007354,0.012519,-0.002664,0.011713,0.009992,1.1722,0,1.9364,0,-0.778,0,0.0958,0,,0,0,0.0597,0,21,0.0,0.0,0.0,0.0,0
RELIANCE,2026-01-01,1566.46,1585.17,1563.87,1568.35,6408128,7747097.555555556,0.8272,0.003314,0.000649,0.002665,1e-06,0.010848,0.009303,1.1661,0,0.2623,0,-0.5919,0,0.1569,0,,0,0,0.1855,0,108,0.0,0.0,0.0,0.0,0
RELIANCE,2026-01-02,1572.73,1587.26,1570.94,1584.97,6602230,7632610.8,0.865,0.010597,0.006961,0.003636,0.003637,0.011375,0.009286,1.225,0,0.9307,0,-0.52,0,0.2404,0,,0,0,0.1573,0,75,0.0,0.0,0.0,0.0,0
RELIANCE,2026-01-05,1585.67,1604.38,1568.05,1570.84,8704973,7730098.272727272,1.1261,-0.008915,-0.002972,-0.005943,-0.002306,0.011431,0.009406,1.2153,0,-1.04,0,-0.0236,0,0.104,0,,0,0,0.166,0,84,0.0,0.0,0.0,0.0,0
RELIANCE,2026-01-06,1561.78,1561.78,1489.41,1500.66,27417125,9370683.833333334,2.9258,-0.044677,-0.002728,-0.041949,-0.042901,0.025076,0.016376,1.5313,0,-2.5282,1,3.398,1,-0.8278,0,,0,1,-0.1157,1,1,0.0852,0.0,1.0,52.13,0
