Date,Open,High,Low,Close,Volume
2016-06-27,233.6,241.16,232.98,236.72,21805
2016-06-28,237.33,243.1,237.33,240.98,36452
2016-06-29,241.16,252.13,241.16,249.44,68821
2016-06-30,250.67,267.17,250.43,262.63,139393
2016-07-01,262.92,272.37,250.62,253.98,440648
2016-07-04,253.51,261.45,253.51,257.38,76316
2016-07-05,259.75,261.59,255.35,259.37,42250
2016-07-07,256.39,261.02,255.35,258.28,32046
2016-07-08,259.94,261.02,255.4,259.51,40362
2016-07-11,262.21,265.75,255.82,262.73,45210
2016-07-12,261.69,265.52,261.02,262.16,29033
2016-07-13,263.01,263.86,258.33,260.03,16864
2016-07-14,257.38,261.92,236.2,248.45,125905
2016-07-15,250.24,254.22,245.09,248.97,29092
2016-07-18,250.2,260.69,249.77,252.84,63690
2016-07-19,253.46,257.24,250.62,254.5,44073
2016-07-20,252.37,257.15,252.37,255.54,16928
2016-07-21,257.21,260.68,252.49,254.11,21084
2016-07-22,260.02,260.02,253.44,254.49,17494
2016-07-25,256.97,263.4,253.11,254.11,42678
2016-07-26,256.11,259.54,254.4,257.59,35032
2016-07-27,257.25,260.11,256.44,259.49,21280
2016-07-28,257.97,270.59,257.97,268.83,52426
2016-07-29,268.83,282.5,267.31,280.5,118938
2016-08-01,295.37,299.18,279.55,285.03,149128
2016-08-02,283.93,289.65,282.03,287.03,36953
2016-08-03,289.46,289.46,277.31,279.07,30953
2016-08-04,285.79,285.79,274.21,276.64,33192
2016-08-05,278.22,284.22,274.88,277.93,21989
2016-08-08,277.69,293.13,277.69,291.51,82615
2016-08-09,292.46,292.46,282.12,285.22,31200
2016-08-10,284.89,287.7,278.79,284.41,25449
2016-08-11,282.84,286.08,282.84,285.65,14816
2016-08-12,285.65,287.7,276.31,279.26,29851
2016-08-16,279.98,285.74,275.45,276.6,21962
2016-08-17,272.5,285.84,272.5,281.22,10054
2016-08-18,281.46,284.84,281.07,282.03,15357
2016-08-19,282.07,284.7,280.12,282.03,12429
2016-08-22,280.17,284.89,275.69,276.88,24767
2016-08-23,272.59,283.84,272.59,281.74,21757
2016-08-24,283.5,285.84,277.36,280.36,15284
2016-08-25,278.22,292.46,278.22,284.22,36626
2016-08-26,285.12,287.79,280.12,284.08,19936
2016-08-29,286.79,289.75,274.5,277.98,20141
2016-08-30,279.17,282.5,272.59,275.93,20854
2016-08-31,276.31,279.22,272.59,274.07,14530
2016-09-01,273.45,279.12,269.64,271.12,15365
2016-09-02,269.78,275.36,268.26,270.36,9310
2016-09-06,269.59,275.36,265.02,270.59,13243
2016-09-07,270.64,277.79,270.59,273.79,51459
2016-09-08,271.98,277.26,271.78,273.6,14609
2016-09-09,271.55,276.26,271.55,275.12,15755
