Date,Open,High,Low,Close,Volume
2024-07-31,210.38,210.88,203.49,203.85,517685
2024-08-01,206.17,207.19,195.15,198.41,563044
2024-08-02,194.52,199.39,192.52,197.51,416358
2024-08-05,181.56,191.03,181.56,185.15,1489699
2024-08-06,186.52,194.52,179.65,183.36,646183
2024-08-07,188.53,193.02,184.54,191.1,562517
2024-08-08,191.1,191.86,187.68,188.59,357226
2024-08-09,191.3,191.3,184.44,186.14,521211
2024-08-12,183.06,196.11,179.73,191.73,1060631
2024-08-13,193.92,193.92,182.55,183.86,655173
2024-08-14,182.67,183.54,176.12,177.7,962410
2024-08-16,182.57,183.54,176.56,178.66,571193
2024-08-19,178.66,183.14,178.66,181.08,479015
2024-08-20,183.57,188.39,180.64,182.6,501545
2024-08-21,182.32,190.53,179.85,185.38,1432559
2024-08-22,188.03,194.42,187.05,190.56,1197650
2024-08-23,191.42,192.52,186.06,186.85,354569
2024-08-26,188.31,188.31,183.54,184.67,494457
2024-08-27,185.34,186.27,182.55,184.45,427490
2024-08-28,185.44,185.67,180.41,181.55,630892
2024-08-29,183.54,183.54,174.57,176.24,785295
2024-08-30,176.25,179.79,175.64,177.21,417377
2024-09-02,178.26,178.55,171.57,172.38,616526
2024-09-03,172.37,177.8,171.68,173.7,396354
2024-09-04,172.55,173.22,169.89,171.07,507779
2024-09-05,172.47,177.41,172.26,175.01,651254
2024-09-06,175.95,176.04,170.83,171.96,428867
2024-09-09,170.42,171.03,165.59,166.48,602117
2024-09-10,167.09,174.52,167.09,169.69,463779
2024-09-11,170.48,175.38,170.04,171.86,430587
2024-09-12,171.86,173.36,167.85,170.23,442569
2024-09-13,167.6,171.2,167.39,168.13,528244
2024-09-16,168.57,171.84,167.01,167.9,490647
2024-09-17,168.02,172.58,166.53,168.94,542988
2024-09-18,174.57,183.54,169.49,172.18,2196766
2024-09-19,174.42,177.87,166.71,169.85,644576
2024-09-20,171.08,174.61,169.06,171.88,471692
2024-09-23,173.52,173.52,169.59,171.64,407143
2024-09-24,171.5,172.87,169.65,171.6,356816
2024-09-25,170.6,177.95,168.59,175.88,889036
2024-09-26,177.26,177.56,171.54,172.26,544355
2024-09-27,173.04,175.76,170.58,171.13,284857
2024-09-30,176.79,192.52,176.56,183.4,3331021
2024-10-01,183.54,187.04,180.66,182.2,695832
2024-10-03,178.55,182.2,175.96,179.28,678079
2024-10-04,180.13,182.55,173.78,177.91,665797
2024-10-07,199.5,200.5,181.55,184.34,7117079
2024-10-08,184.1,184.93,174.82,175.96,2634380
2024-10-09,178.66,188.73,178.46,180.72,2623283
2024-10-10,182.84,185.54,176.46,178.49,1229727
2024-10-11,179.45,182.03,176.36,177.24,826921
2024-10-14,178.24,180.45,173.58,174.68,610512
2024-10-15,177.56,178.56,174.77,175.59,617084
2024-10-16,175.55,180.45,174.77,175.42,813613
2024-10-17,175.56,181.0,171.17,176.41,1226214
2024-10-18,176.56,178.56,172.59,175.15,608766
2024-10-21,177.56,182.05,175.66,178.29,1538645
2024-10-22,178.17,178.17,168.58,169.41,791640
2024-10-23,169.4,170.58,163.59,164.56,862540
2024-10-24,164.58,173.57,164.37,172.72,1527504
2024-10-25,173.25,174.61,164.67,167.33,710056
2024-10-28,168.01,169.48,164.6,167.37,709516
2024-10-29,167.12,169.12,164.99,168.4,390316
2024-10-30,168.4,172.01,167.33,169.86,461440
2024-10-31,170.14,172.32,168.58,172.06,708942
2024-11-01,173.62,174.57,173.61,174.21,276165
2024-11-04,174.56,174.56,167.78,168.94,371863
2024-11-05,169.57,172.07,167.08,170.49,419795
2024-11-06,171.57,172.57,169.38,171.04,603283
2024-11-07,171.57,173.87,169.88,170.71,601519
2024-11-08,171.44,172.57,167.33,168.63,573229
2024-11-11,168.58,168.58,161.97,162.5,944757
2024-11-12,163.29,164.56,154.67,155.32,1020295
2024-11-13,154.59,155.02,144.09,146.06,1799413
2024-11-14,146.04,151.62,142.65,144.58,1399582
2024-11-18,146.14,149.25,139.24,147.57,892959
2024-11-19,149.13,152.42,146.15,147.11,689572
2024-11-21,146.64,147.13,143.41,145.69,499793
2024-11-22,146.64,147.69,144.19,146.39,454602
2024-11-25,151.17,156.61,149.17,154.87,1428049
2024-11-26,155.52,156.61,151.72,153.16,487269
2024-11-27,154.02,155.8,151.73,153.98,510361
2024-11-28,155.62,159.47,153.73,156.89,692262
2024-11-29,158.01,158.36,154.95,156.16,461412
2024-12-02,155.1,155.31,152.22,153.49,588244
2024-12-03,153.52,168.56,153.42,166.78,2146606
2024-12-04,168.13,178.56,167.58,170.75,2752648
2024-12-05,172.07,173.76,169.11,171.98,770832
2024-12-06,172.82,173.36,170.08,171.02,445948
2024-12-09,171.96,173.38,164.59,165.78,921662
2024-12-10,166.88,168.44,160.7,161.82,677099
2024-12-11,161.62,165.93,161.62,163.32,713586
2024-12-12,163.78,166.49,162.61,163.06,376837
2024-12-13,162.39,166.14,161.6,164.75,535482
2024-12-16,165.46,172.55,165.02,170.43,1034688
2024-12-17,171.74,175.46,167.61,171.46,973520
2024-12-18,171.57,174.07,167.58,167.86,572084
2024-12-19,163.0,167.33,161.95,164.61,402081
2024-12-20,164.48,166.09,159.05,159.84,571627
2024-12-23,161.3,164.57,152.83,155.28,548686
2024-12-24,156.27,162.59,156.27,158.99,428526
2024-12-26,158.99,161.3,155.76,156.35,250424
2024-12-27,156.6,159.6,156.11,156.71,230858
2024-12-30,157.47,157.49,150.83,151.42,403878
2024-12-31,150.61,153.62,149.78,152.83,366978
2025-01-01,151.33,161.1,151.33,159.55,486442
2025-01-02,161.05,161.2,155.81,157.89,425086
2025-01-03,158.41,160.1,155.88,156.71,462696
2025-01-06,157.3,157.6,148.13,148.94,612965
2025-01-07,158.1,158.1,147.63,149.84,910485
2025-01-08,150.47,151.07,147.5,148.53,463389
2025-01-09,148.26,148.48,145.22,145.66,430484
2025-01-10,146.64,147.55,139.75,140.47,690691
2025-01-13,137.7,139.65,129.68,131.93,956629
2025-01-14,132.58,140.15,131.7,135.8,856546
2025-01-15,135.66,139.74,133.76,134.93,731238
2025-01-16,136.96,140.5,136.96,138.94,515183
2025-01-17,142.04,142.04,137.21,139.45,702981
2025-01-20,141.65,141.66,133.53,136.21,1336828
2025-01-21,137.46,148.38,137.16,141.79,3047044
2025-01-22,142.54,142.6,136.27,138.32,855897
2025-01-23,134.96,145.11,134.96,138.94,881606
2025-01-24,140.95,140.95,135.11,135.92,571439
2025-01-27,134.67,135.66,125.69,128.13,1022939
2025-01-28,128.77,131.27,117.71,126.94,1214946
2025-01-29,128.17,133.15,128.05,131.77,503789
2025-01-30,133.77,136.22,130.95,131.97,439803
2025-01-31,134.17,138.29,131.78,136.39,534762
2025-02-03,130.68,130.87,126.3,126.76,343989
2025-02-04,128.68,132.02,128.68,130.39,376777
2025-02-05,131.62,133.66,130.44,131.3,218194
2025-02-06,133.26,133.42,129.75,131.02,249855
2025-02-07,131.67,132.07,128.65,129.96,317441
2025-02-10,129.18,130.13,126.29,126.61,305221
2025-02-11,126.35,126.58,117.96,118.9,641777
2025-02-12,118.71,120.68,111.92,119.73,880673
2025-02-13,120.2,124.72,116.71,118.04,473131
2025-02-14,118.56,119.0,112.22,112.78,693349
2025-02-17,111.48,114.22,107.23,108.42,873447
2025-02-18,106.84,110.89,99.85,101.19,1506181
2025-02-19,100.16,107.73,100.15,106.7,1079625
2025-02-20,114.61,124.59,107.93,122.48,6465359
2025-02-21,122.94,127.34,119.96,121.06,2056485
2025-02-24,119.71,122.1,115.4,118.92,805668
2025-02-25,120.07,121.97,116.71,117.5,543387
