Date,Open,High,Low,Close,Volume
2025-12-24,976.84,983.14,976.84,980.98,13699996
2025-12-26,979.79,980.98,971.63,975.96,9360853
2025-12-29,976.94,981.17,971.14,975.56,13545749
2025-12-30,974.09,978.81,966.22,974.78,33155849
2025-12-31,974.88,981.37,971.53,975.07,10963454
2026-01-01,977.34,981.32,973.4,975.02,7132074
2026-01-02,975.02,986.88,972.71,985.3,11751459
2026-01-05,989.39,990.03,960.42,961.6,27647379
2026-01-06,947.04,950.97,940.45,946.54,31988783
2026-01-07,940.45,940.89,930.61,933.61,52884712
2026-01-08,929.33,937.49,926.08,931.3,21928849
2026-01-09,929.62,935.13,918.11,923.72,38183839
2026-01-12,922.25,926.67,914.48,921.71,21071666
2026-01-13,932.28,932.28,917.43,922.1,32042827
2026-01-14,914.87,924.76,905.23,910.39,36688248
2026-01-15,910.39,910.39,910.39,910.39,0
2026-01-16,907.0,920.72,904.24,915.95,37780235
2026-01-19,920.67,920.92,904.54,912.8,38191942
2026-01-20,914.18,919.3,904.64,916.05,36022727
2026-01-21,909.95,916.98,900.6,905.38,32766854
2026-01-22,912.9,913.2,898.34,903.75,44444755
2026-01-23,905.03,911.03,894.46,901.19,30985247
2026-01-27,891.26,916.05,890.28,911.33,44753093
2026-01-28,917.33,926.13,913.29,917.52,35347138
2026-01-29,914.97,924.02,909.31,920.28,37175628
2026-01-30,914.87,923.62,912.66,914.13,29691233
2026-02-02,900.11,914.67,894.51,913.0,28032106
2026-02-03,967.74,977.83,929.62,933.26,50336968
2026-02-04,937.0,941.63,932.53,937.59,24366770
2026-02-05,940.45,940.49,931.3,934.25,28103169
2026-02-06,929.62,932.67,922.34,925.79,18120272
2026-02-09,929.62,934.54,920.13,922.0,23947829
2026-02-10,914.87,925.59,914.82,917.23,31525385
2026-02-11,916.1,920.77,910.25,912.02,24869804
2026-02-12,911.92,913.49,903.56,905.62,33872203
2026-02-13,898.15,913.1,886.34,889.19,50188359
2026-02-16,889.19,914.38,887.42,910.74,18806989
2026-02-17,907.98,913.0,903.65,910.64,22599629
2026-02-18,908.18,910.44,904.59,909.65,12738702
2026-02-19,913.88,914.08,897.6,900.7,21209234
2026-02-20,896.18,902.92,893.62,897.01,22654907
2026-02-23,901.59,910.59,900.36,908.57,23270122
2026-02-24,912.85,912.85,894.36,895.69,31313985
2026-02-25,895.74,901.1,888.41,892.83,27884303
2026-02-26,897.16,897.16,880.44,883.98,41165937
2026-02-27,883.98,884.32,870.6,873.31,34620755
2026-03-02,861.94,873.31,857.37,865.09,38378924
2026-03-04,834.2,864.99,834.2,854.52,39862322
2026-03-05,859.63,867.06,849.45,863.47,31324582
2026-03-06,853.93,857.52,841.19,843.11,34439647
2026-03-09,811.58,828.74,808.13,827.02,35592613
2026-03-10,836.22,842.86,826.92,835.63,52866024
2026-03-11,831.25,835.04,814.13,820.38,42261076
2026-03-12,806.76,822.79,806.76,819.2,46107561
2026-03-13,806.66,810.4,798.79,803.71,41700464
2026-03-16,803.71,830.76,802.38,826.92,52182605
2026-03-17,833.91,835.09,821.51,831.6,38826979
