Date,Open,High,Low,Close,Volume
2016-07-07,186.14,191.23,182.68,185.32,155877
2016-07-08,184.98,189.21,183.06,184.84,97061
2016-07-11,187.39,188.35,183.64,184.79,37383
2016-07-12,185.47,185.47,182.68,182.92,40852
2016-07-13,182.77,184.5,179.8,180.9,53875
2016-07-14,183.98,184.36,180.18,183.26,28027
2016-07-15,182.58,186.43,180.66,185.32,50506
2016-07-18,185.95,188.35,180.76,181.19,83913
2016-07-19,181.38,185.37,180.42,181.38,24038
2016-07-20,182.44,184.31,180.85,182.29,47374
2016-07-21,183.54,184.46,179.22,180.13,41763
2016-07-22,180.08,181.48,176.86,177.25,51175
2016-07-25,178.98,180.04,176.38,177.35,86251
2016-07-26,177.78,181.57,176.72,178.74,568388
2016-07-27,179.03,182.05,179.03,180.37,48381
2016-07-28,187.15,187.29,182.1,183.98,369104
2016-07-29,183.54,185.8,182.58,183.26,71576
2016-08-01,183.26,184.5,180.61,181.09,24166
2016-08-02,183.45,183.45,177.39,178.64,37356
2016-08-03,177.97,179.36,175.81,178.5,332569
2016-08-04,180.56,180.56,175.18,176.38,16127
2016-08-05,178.21,179.7,177.2,178.64,28538
2016-08-08,180.13,180.13,174.89,176.77,333953
2016-08-09,177.63,177.78,174.22,175.86,23216
2016-08-10,175.86,176.82,173.45,174.03,20184
2016-08-11,173.93,175.81,173.07,174.17,27837
2016-08-12,175.47,177.78,173.79,175.47,24267
2016-08-16,175.86,176.82,173.89,175.33,48161
2016-08-17,176.82,179.41,174.89,177.3,42891
2016-08-18,176.82,179.94,176.77,178.79,26722
2016-08-19,180.52,182.01,178.74,181.29,72627
2016-08-22,181.62,184.02,179.8,182.01,84682
2016-08-23,183.3,183.54,181.38,182.53,27069
2016-08-24,182.77,184.98,181.14,183.45,303164
2016-08-25,183.54,184.79,182.34,184.02,59264
2016-08-26,184.46,186.04,180.85,184.12,587461
2016-08-29,184.46,185.23,181.72,183.16,576247
2016-08-30,184.07,184.41,181.67,182.58,30387
2016-08-31,182.58,182.97,180.71,181.57,29419
2016-09-01,180.76,182.58,178.79,179.75,22803
2016-09-02,180.76,190.08,178.83,188.06,296388
2016-09-06,189.31,196.9,187.2,193.49,278286
2016-09-07,195.03,219.29,192.0,209.01,1238570
2016-09-08,210.16,213.24,204.83,208.58,230337
2016-09-09,209.83,218.38,207.57,215.54,403328
2016-09-12,211.8,220.06,208.58,214.49,239463
2016-09-14,216.5,225.73,215.74,224.14,321886
2016-09-15,224.48,228.52,216.31,221.21,148496
2016-09-16,220.64,223.9,213.53,216.89,122232
2016-09-19,219.77,222.8,217.18,219.15,64800
2016-09-20,219.58,220.97,213.96,215.11,42082
2016-09-21,214.53,224.38,214.53,217.03,66743
2016-09-22,217.71,220.06,216.84,217.99,35547
2016-09-23,221.02,221.02,212.23,214.1,36786
2016-09-26,213.33,216.07,211.41,213.14,28081
2016-09-27,213.77,216.7,210.02,211.32,45335
2016-09-28,212.28,216.89,210.64,213.91,44094
2016-09-29,216.22,216.22,196.13,201.61,78918
2016-09-30,202.76,208.53,198.87,206.22,43333
2016-10-03,205.74,213.91,205.74,212.23,51078
2016-10-04,213.33,219.87,211.41,216.65,50993
2016-10-05,218.43,219.1,213.04,214.92,51364
2016-10-06,213.33,218.62,212.37,213.62,31811
2016-10-07,215.35,215.98,210.74,211.8,23231
2016-10-10,212.71,215.69,210.5,211.56,15859
2016-10-13,215.26,215.26,206.7,211.99,52195
2016-10-14,212.32,214.2,208.53,208.91,28247
2016-10-17,210.5,212.8,209.01,209.73,24968
2016-10-18,212.32,212.32,206.8,209.44,26649
2016-10-19,209.54,211.27,207.57,207.95,23251
2016-10-20,205.69,210.31,205.69,207.38,19497
2016-10-21,207.38,211.89,206.61,208.1,22527
2016-10-24,209.49,211.75,205.45,210.93,28810
2016-10-25,211.41,222.94,210.55,214.92,121526
2016-10-26,215.26,221.98,215.26,217.23,56576
2016-10-27,219.1,220.06,213.57,215.26,42251
2016-10-28,217.9,217.9,213.67,216.98,24027
2016-11-01,220.68,221.84,215.26,216.5,21590
2016-11-02,215.26,220.88,210.74,216.07,34877
2016-11-03,216.22,219.1,201.8,212.42,47700
2016-11-04,212.37,216.65,202.76,206.89,42998
2016-11-07,210.45,211.41,206.75,208.38,47452
2016-11-08,207.76,209.97,205.84,207.71,20431
2016-11-09,188.35,206.61,188.35,204.83,55887
2016-11-10,228.13,234.47,216.22,217.8,231394
2016-11-11,216.22,219.1,211.94,215.01,86654
2016-11-15,214.2,217.08,202.76,206.94,49817
2016-11-16,207.57,212.76,201.56,210.02,56051
2016-11-17,208.53,211.08,201.9,203.24,35170
2016-11-18,204.11,210.26,200.07,209.11,57256
2016-11-21,213.33,213.33,199.98,201.23,29783
2016-11-22,201.23,205.55,192.67,197.43,44220
2016-11-23,199.88,205.36,198.29,203.05,27875
2016-11-24,201.23,206.56,200.36,205.79,28872
2016-11-25,205.26,209.97,205.17,205.65,273772
2016-11-28,207.57,210.93,203.82,204.83,27819
2016-11-29,206.65,207.9,204.73,205.6,15265
2016-11-30,208.53,211.46,205.45,210.35,38802
2016-12-01,211.41,213.81,207.14,208.05,98960
2016-12-02,206.89,211.36,206.89,209.92,38585
2016-12-05,220.06,220.06,213.05,214.49,211536
2016-12-06,216.22,217.66,213.33,214.58,66656
2016-12-07,214.92,216.22,205.26,210.31,60344
2016-12-08,212.76,214.92,211.41,212.8,24923
2016-12-09,215.11,217.18,212.23,214.29,159261
2016-12-12,212.56,215.4,211.41,212.13,30103
2016-12-13,212.76,216.22,207.57,208.48,29342
2016-12-14,211.27,215.16,209.25,212.42,52484
2016-12-15,206.7,222.94,206.7,216.12,260032
2016-12-16,216.22,218.81,214.44,215.83,102528
2016-12-19,216.36,216.94,209.97,212.66,28774
2016-12-20,214.34,215.01,206.8,208.48,32071
2016-12-21,211.12,214.29,202.76,205.36,48660
2016-12-22,205.17,207.57,200.02,201.42,43763
2016-12-23,199.88,203.48,195.41,198.77,44228
2016-12-26,194.16,204.49,194.16,201.95,29240
2016-12-27,201.37,206.61,196.37,205.12,47628
2016-12-28,206.61,208.53,201.85,207.9,64348
2016-12-29,207.66,214.1,204.59,212.56,89139
2016-12-30,214.44,216.02,211.41,212.42,18917
2017-01-02,215.74,215.74,209.87,214.82,13720
2017-01-03,212.71,217.23,211.41,213.91,138553
2017-01-04,212.37,215.59,211.51,212.28,29571
2017-01-05,212.37,215.11,210.79,211.7,18844
2017-01-06,213.33,214.01,207.57,208.86,19382
2017-01-09,212.37,213.33,208.58,211.08,42021
2017-01-10,210.16,216.22,209.01,214.68,464718
2017-01-11,215.26,216.98,210.93,211.51,15287
2017-01-12,210.69,212.85,208.77,210.07,14537
2017-01-13,211.36,212.37,207.57,209.63,18741
2017-01-16,209.63,211.41,208.62,209.78,36217
2017-01-17,210.45,212.37,207.66,208.72,23565
2017-01-18,208.91,210.45,207.62,208.58,21472
2017-01-19,209.06,213.0,207.57,209.78,111562
2017-01-20,212.37,212.37,204.3,206.85,45387
2017-01-23,208.67,210.93,205.74,209.49,136803
2017-01-24,208.82,209.92,207.57,208.72,17327
2017-01-25,210.16,210.98,207.66,209.54,127540
2017-01-27,210.4,213.96,209.49,211.41,36429
2017-01-30,213.29,213.29,207.18,207.86,75850
2017-01-31,208.53,209.39,203.72,204.97,32071
