Date,Open,High,Low,Close,Volume
2016-06-27,117.63,120.2,117.37,119.43,47815
2016-06-28,119.27,119.7,117.35,117.9,60141
2016-06-29,117.91,127.45,117.91,123.82,246145
2016-06-30,124.24,126.34,122.56,122.93,66775
2016-07-01,122.92,124.92,122.92,124.31,77203
2016-07-04,124.91,128.46,124.45,126.65,100944
2016-07-05,127.52,128.7,126.34,127.08,258792
2016-07-07,128.7,129.17,126.41,126.92,341370
2016-07-08,127.51,127.51,123.25,126.07,123616
2016-07-11,126.1,128.94,125.16,126.8,391651
2016-07-12,126.4,127.76,125.4,126.0,86689
2016-07-13,125.89,126.81,124.92,126.08,25181
2016-07-14,124.0,128.23,124.0,127.43,63705
2016-07-15,127.51,127.52,125.16,126.2,40144
2016-07-18,126.21,126.92,124.69,125.29,1086614
2016-07-19,125.93,126.1,122.8,123.66,112006
2016-07-20,123.33,126.09,122.82,125.27,328378
2016-07-21,126.07,127.51,124.53,125.67,641616
2016-07-22,126.22,133.09,125.75,130.25,554260
2016-07-25,129.88,134.36,128.91,132.3,783339
2016-07-26,133.38,133.42,130.7,131.31,571293
2016-07-27,131.53,132.95,129.74,131.49,229647
2016-07-28,131.72,133.88,130.44,131.61,267537
2016-07-29,132.0,133.42,130.12,131.06,258121
2016-08-01,131.98,133.42,130.12,132.9,166699
2016-08-02,133.6,133.6,125.87,127.96,130509
2016-08-03,126.81,132.18,125.54,131.2,251516
2016-08-04,131.07,135.73,129.88,131.94,353707
2016-08-05,131.3,133.9,131.3,132.3,104874
2016-08-08,132.73,135.73,132.48,134.19,252269
2016-08-09,134.6,140.69,134.16,135.49,857863
2016-08-10,135.81,139.09,134.65,137.19,475735
2016-08-11,136.73,141.63,135.55,138.78,608158
2016-08-12,139.32,140.43,136.97,138.65,215042
2016-08-16,139.08,139.08,136.95,137.98,77026
2016-08-17,138.15,141.22,136.54,141.11,289072
2016-08-18,140.74,144.76,139.84,142.2,391404
2016-08-19,142.37,143.12,139.58,140.28,94681
2016-08-22,140.98,142.39,138.44,141.54,122410
2016-08-23,140.51,141.62,136.73,137.21,141229
2016-08-24,137.64,142.81,135.79,142.23,412507
2016-08-25,142.65,143.98,139.42,140.18,181588
2016-08-26,139.33,144.31,139.17,143.05,131324
2016-08-29,144.76,146.18,143.46,145.55,225416
2016-08-30,146.4,149.95,145.53,148.24,323505
2016-08-31,148.77,149.0,145.35,146.29,127072
2016-09-01,147.58,147.6,145.01,145.48,48490
2016-09-02,145.72,147.59,145.23,145.74,65927
2016-09-06,148.77,148.77,145.62,146.81,99158
2016-09-07,146.4,147.77,146.18,146.42,89853
2016-09-08,144.09,148.76,144.09,146.94,117319
2016-09-09,146.41,148.5,143.11,143.47,147987
2016-09-12,139.86,143.58,139.86,140.77,81586
2016-09-14,142.32,142.82,140.08,140.76,96109
2016-09-15,140.72,141.69,139.8,140.59,92664
2016-09-16,141.94,143.13,136.51,138.94,469550
2016-09-19,139.34,141.81,139.34,141.03,68223
2016-09-20,140.89,147.12,140.89,146.34,395190
2016-09-21,147.83,148.54,144.81,145.75,288381
2016-09-22,148.24,148.24,145.55,146.48,180675
2016-09-23,147.36,148.77,146.53,147.78,421437
2016-09-26,149.23,149.48,146.92,147.84,158748
2016-09-27,148.53,148.76,142.94,144.05,224634
2016-09-28,144.76,147.35,143.34,143.65,124509
2016-09-29,145.21,145.7,137.6,143.07,546049
